Software Name,Version,Manufacturer,License Type,Installations,Access Type,Detected At
MySQL Connector/ODBC 5.1,5.1.11,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 12:57 AM"
MySQL Connector/ODBC 5.3,5.3.9,Oracle Corporation,Unidentified,3,Not Assigned,"Jun 30, 2022 01:50 AM"
MySQL Connector/ODBC 5.3,5.3.4,Oracle Corporation,Unidentified,1,Not Assigned,"Jul 12, 2022 03:34 PM"
MySQL Connector/ODBC 5.3,5.3.14,Oracle Corporation,Unidentified,2,Not Assigned,"Oct 4, 2022 03:59 AM"
MySQL Connector/ODBC 8.0,8.0.22,Oracle Corporation,Unidentified,1,Not Assigned,"Jul 1, 2022 11:42 PM"
MySQL Connector/ODBC 8.0,8.0.31,Oracle Corporation,Unidentified,2,Not Assigned,"Oct 16, 2022 12:07 AM"
MySQL Documents 8.0,8.0.20,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 01:23 AM"
MySQL Documents 8.0,8.0.22,Oracle Corporation,Unidentified,2,Not Assigned,"Jul 1, 2022 11:42 PM"
MySQL Examples and Samples 8.0,8.0.20,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 01:23 AM"
MySQL Examples and Samples 8.0,8.0.22,Oracle Corporation,Unidentified,2,Not Assigned,"Jul 1, 2022 11:42 PM"
MySQL Installer - Community,1.4.33.0,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 01:23 AM"
MySQL Installer - Community,1.4.35.0,Oracle Corporation,Unidentified,2,Not Assigned,"Jul 1, 2022 11:42 PM"
MySQL Router 8.0,8.0.20,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 01:23 AM"
MySQL Server 8.0,8.0.20,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 01:23 AM"
MySQL Server 8.0,8.0.22,Oracle Corporation,Unidentified,1,Not Assigned,"Jul 1, 2022 11:42 PM"
MySQL Workbench 8.0 CE,8.0.20,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 01:23 AM"
MySQL Workbench 8.0 CE,8.0.22,Oracle Corporation,Unidentified,1,Not Assigned,"Jul 1, 2022 11:42 PM"
MySQL Workbench 8.0 CE,8.0.30,Oracle Corporation,Unidentified,1,Not Assigned,"Sep 18, 2022 11:22 PM"
Oracle VM VirtualBox 6.0.24,6.0.24,Oracle Corporation,Unidentified,1,Not Assigned,"Oct 7, 2022 11:42 PM"
Oracle VM VirtualBox 6.1.28,6.1.28,Oracle Corporation,Unidentified,1,Not Assigned,"Oct 8, 2022 12:36 AM"
